Time	Open	High	Low	Close	Volume
2020-08-11 00:00:00	2.85	3.52	2.84	3.3	1552405
2020-08-12 00:00:00	3.3	3.93	3.08	3.76	1737067
2020-08-13 00:00:00	3.75	4.14	3.5	3.73	1685782
2020-08-14 00:00:00	3.72	3.77	3.32	3.41	1474188
2020-08-15 00:00:00	3.42	3.74	3.15	3.17	1070259
2020-08-16 00:00:00	3.17	3.49	3.12	3.39	668130
2020-08-17 00:00:00	3.39	3.4	3.1	3.11	729435
2020-08-18 00:00:00	3.11	3.71	2.81	3.34	2713136
2020-08-19 00:00:00	3.33	3.49	2.8	2.89	1433268
2020-08-20 00:00:00	2.9	3.45	2.89	3.2	1277850
2020-08-21 00:00:00	3.2	3.24	2.89	2.93	1131921
2020-08-22 00:00:00	2.92	3.2	2.74	3.01	1169442
2020-08-23 00:00:00	3.02	3.4	3	3.25	1198059
2020-08-24 00:00:00	3.27	3.62	3.21	3.34	1315221
2020-08-25 00:00:00	3.34	3.37	3	3.25	1149205
2020-08-26 00:00:00	3.26	3.8	3.18	3.57	2290051
2020-08-27 00:00:00	3.56	3.86	3.24	3.45	2412997
2020-08-28 00:00:00	3.45	4.31	3.45	4.01	2581963
2020-08-29 00:00:00	4.01	4.11	3.77	3.95	1342868
2020-08-30 00:00:00	3.95	4.71	3.9	4.43	1815707
2020-08-31 00:00:00	4.41	4.89	4.1	4.74	1497151
2020-09-01 00:00:00	4.74	4.95	4.3	4.34	1267593
2020-09-02 00:00:00	4.32	4.35	3.66	4.17	2002083
2020-09-03 00:00:00	4.17	4.46	3.48	3.51	3275638
2020-09-04 00:00:00	3.51	3.83	3.17	3.53	2052223
2020-09-05 00:00:00	3.53	3.66	2.09	2.61	4426289
2020-09-06 00:00:00	2.61	3.18	2.26	3.09	2898781
2020-09-07 00:00:00	3.08	3.2	2.38	2.92	2680106
2020-09-08 00:00:00	2.92	2.95	2.4	2.47	1626416
2020-09-09 00:00:00	2.47	3.88	2.38	3.6	6691144
2020-09-10 00:00:00	3.61	3.88	3.3	3.48	4356914
2020-09-11 00:00:00	3.47	3.5	3.03	3.4	2227659
2020-09-12 00:00:00	3.4	3.47	3.15	3.33	1161566
2020-09-13 00:00:00	3.34	3.47	2.98	3.26	2024802
2020-09-14 00:00:00	3.27	3.54	3.08	3.26	3351674
2020-09-15 00:00:00	3.26	3.32	2.9	2.93	1698417
2020-09-16 00:00:00	2.93	2.93	2.43	2.53	4886792
2020-09-17 00:00:00	2.54	2.94	2.36	2.88	4635769
2020-09-18 00:00:00	2.88	3.16	2.73	3.11	4169472
2020-09-19 00:00:00	3.11	3.25	2.96	3.03	1586244
2020-09-20 00:00:00	3.02	3.03	2.7	2.86	1456652
2020-09-21 00:00:00	2.86	3.04	2.47	2.77	3567900
2020-09-22 00:00:00	2.76	3.01	2.65	2.91	3416810
2020-09-23 00:00:00	2.92	3.09	2.7	2.85	2762174
2020-09-24 00:00:00	2.86	3.26	2.78	3.14	2983725
2020-09-25 00:00:00	3.14	3.28	2.9	3.19	2447869
2020-09-26 00:00:00	3.19	3.25	3.03	3.13	1357042
2020-09-27 00:00:00	3.13	3.19	2.98	3.16	983839
2020-09-28 00:00:00	3.16	3.21	2.91	2.96	1306160
2020-09-29 00:00:00	2.95	3.03	2.87	2.95	950897
2020-09-30 00:00:00	2.94	2.98	2.82	2.9	722779
2020-10-01 00:00:00	2.9	2.99	2.65	2.87	1373085
2020-10-02 00:00:00	2.87	2.89	2.42	2.62	2788519
2020-10-03 00:00:00	2.62	2.67	2.54	2.54	547048
2020-10-04 00:00:00	2.54	2.59	2.42	2.52	765421
2020-10-05 00:00:00	2.52	2.68	2.46	2.65	912613
