Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
Analog Devices Inc,ADI,0.239604,   180.35,0.63,-0.35%,
Regeneron Pharmaceuticals,REGN,0.235763,   824.07,-0.45,(-0.05%),
Chubb Ltd,CB,0.233799,   214.50,0.39,-0.18%,
Eaton Corp Plc,ETN,0.232685,   224.65,5.5,-2.51%,
Schwab (Charles) Corp,SCHW,0.232227,   57.82,-0.04,(-0.07%),
Schlumberger Ltd,SLB,0.231282,   61.37,0.16,-0.27%,
American Tower Corp,AMT,0.225119,   180.71,1.18,-0.66%,
The Cigna Group,CI,0.224862,   284.00,-1.34,(-0.47%),
Lam Research Corp,LRCX,0.222804,   635.15,-0.5,(-0.08%),
Zoetis Inc,ZTS,0.22257,   178.80,-0.85,(-0.47%),
Citigroup Inc,C,0.220623,   42.69,0.05,-0.11%,
Progressive Corp,PGR,0.217869,   153.75,13.19,-9.38%,
Blackstone Inc,BX,0.216647,   114.13,-0.24,(-0.21%),
Boston Scientific Corp,BSX,0.207776,   53.06,0.06,-0.11%,
Southern Co,SO,0.207715,   70.90,-0.05,(-0.07%),
Altria Group Inc,MO,0.207216,   43.25,-0.1,(-0.24%),
Eog Resources Inc,EOG,0.206449,   132.45,0.57,-0.43%,
Becton Dickinson and Co,BDX,0.205245,   260.38,-4.19,(-1.59%),
Micron Technology Inc,MU,0.204983,   70.56,0.06,-0.08%,
Cme Group Inc,CME,0.19969,   201.28,-5.28,(-2.55%),
Fiserv Inc,FI,0.197948,   118.00,-3.2,(-2.64%),
T Mobile Us Inc,TMUS,0.197077,   141.13,0.32,-0.23%,
Palo Alto Networks Inc,PANW,0.197069,   240.00,0.11,-0.04%,
Duke Energy Corp,DUK,0.196731,   95.70,0.74,-0.78%,
Equinix Inc,EQIX,0.194817,   770.00,0.53,-0.07%,
Paypal Holdings Inc,PYPL,0.189126,   62.44,-0.5,(-0.79%),
Synopsys Inc,SNPS,0.184461,   460.01,0,0.00%,
Aon Plc Class A,AON,0.182933,   339.38,0.06,-0.02%,
Air Products & Chemicals Inc,APD,0.179863,   301.20,1.67,-0.56%,
Intercontinental Exchange In,ICE,0.17803,   115.79,-0.1,(-0.09%),
Illinois Tool Works,ITW,0.175911,   237.99,0.28,-0.12%,
Activision Blizzard Inc,ATVI,0.175787,   91.81,-0.11,(-0.11%),
Cadence Design Sys Inc,CDNS,0.170663,   235.69,-1.15,(-0.48%),
Kla Corp,KLAC,0.166582,   456.54,0.03,-0.01%,
Csx Corp,CSX,0.166031,   31.07,-0.03,(-0.10%),
Sherwin Williams Co,SHW,0.165856,   260.43,0.48,-0.18%,
Northrop Grumman Corp,NOC,0.165379,   447.17,6.65,-1.51%,
Marathon Petroleum Corp,MPC,0.164973,   157.55,1.21,-0.77%,
Airbnb Inc Class A,ABNB,0.163264,   142.94,0.39,-0.27%,
Colgate Palmolive Co,CL,0.162259,   73.98,0.13,-0.18%,
Waste Management Inc,WM,0.158677,   160.14,0.31,-0.19%,
Fedex Corp,FDX,0.157708,   249.48,0.18,-0.07%,
Humana Inc,HUM,0.156475,   490.53,16.51,-3.48%,
Freeport Mcmoran Inc,FCX,0.155115,   40.13,-0.06,(-0.14%),
Mckesson Corp,MCK,0.152031,   427.35,0.06,-0.01%,
Target Corp,TGT,0.151999,   119.65,0.31,-0.26%,
Emerson Electric Co,EMR,0.151846,   100.93,1.32,-1.32%,
O Reilly Automotive Inc,ORLY,0.150725,   910.35,-19,(-2.04%),
3m Co W/d,MMM,0.149922,   101.23,0.19,-0.19%,
Us Bancorp,USB,0.146804,   35.07,0.32,-0.91%,
Pioneer Natural Resources Co,PXD,0.146345,   250.00,14.72,-6.26%,
Phillips 66,PSX,0.144566,   122.97,0.52,-0.43%,
Moody S Corp,MCO,0.143976,   338.49,-4.91,(-1.43%),
Chipotle Mexican Grill Inc,CMG,0.141536,"   2,000.00",61.64,-3.18%,
Roper Technologies Inc,ROP,0.141116,   499.37,0.21,-0.04%,
Hca Healthcare Inc,HCA,0.138366,   245.03,-10.7,(-4.18%),
Amphenol Corp Cl A,APH,0.136581,   86.24,0.01,-0.01%,
Marriott International Cl A,MAR,0.136524,   204.18,3.5,-1.75%,
Nxp Semiconductors Nv,NXPI,0.136494,   210.20,10.91,-5.47%,
Valero Energy Corp,VLO,0.136101,   147.08,0.8,-0.55%,
General Dynamics Corp,GD,0.135548,   228.31,3.98,-1.77%,
Parker Hannifin Corp,PH,0.135206,   403.27,7.41,-1.87%,
Pnc Financial Services Group,PNC,0.134981,   132.00,7.32,-5.87%,
Ford Motor Co,F,0.133174,   12.34,-0.01,(-0.04%),
Arthur J Gallagher & Co,AJG,0.132684,   233.15,0.04,-0.02%,
Transdigm Group Inc,TDG,0.128004,   870.65,0.56,-0.06%,
Motorola Solutions Inc,MSI,0.127308,   287.72,0.32,-0.11%,
