Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
Northern Trust Corp,NTRS,0.040745,   71.81,0.05,-0.07%,
Eqt Corp,EQT,0.040549,   47.99,6.8,-16.51%,
Textron Inc,TXT,0.040491,   74.63,-1.5,(-1.97%),
Epam Systems Inc,EPAM,0.040446,   275.02,15.65,-6.03%,
United Airlines Holdings Inc,UAL,0.040092,   44.63,-0.01,(-0.01%),
Expedia Group Inc,EXPE,0.03953,   105.53,-0.21,(-0.20%),
Teradyne Inc,TER,0.03945,   96.65,-0.12,(-0.12%),
Avery Dennison Corp,AVY,0.039031,   182.13,0.13,-0.07%,
Axon Enterprise Inc,AXON,0.038957,   202.10,-6.08,(-2.92%),
Essex Property Trust Inc,ESS,0.038754,   224.01,0.16,-0.07%,
Lamb Weston Holdings Inc,LW,0.038253,   97.56,-1.54,(-1.56%),
Revvity Inc,RVTY,0.037774,   164.52,53.03,-47.56%,
Quest Diagnostics Inc,DGX,0.037655,   126.50,0.71,-0.56%,
Western Digital Corp,WDC,0.037426,   44.34,0.69,-1.58%,
Best Buy Co Inc,BBY,0.037232,   70.69,0.05,-0.07%,
Snap on Inc,SNA,0.037229,   260.87,0.18,-0.07%,
Amcor Plc,AMCR,0.036905,   9.41,0.13,-1.35%,
Conagra Brands Inc,CAG,0.036826,   28.85,0.13,-0.46%,
Pool Corp,POOL,0.03668,   349.00,2.42,-0.70%,
Domino S Pizza Inc,DPZ,0.036567,   383.65,-0.66,(-0.17%),
Synchrony Financial,SYF,0.03648,   32.03,-0.11,(-0.35%),
Stanley Black & Decker Inc,SWK,0.036262,   86.00,-1.05,(-1.21%),
Paycom Software Inc,PAYC,0.036259,   295.50,19.4,-7.03%,
Packaging Corp of America,PKG,0.036225,   151.85,0.1,-0.07%,
Lkq Corp,LKQ,0.035842,   50.91,0.8,-1.60%,
Citizens Financial Group,CFG,0.035423,   27.04,-0.36,(-1.33%),
Carmax Inc,KMX,0.035326,   82.75,0.34,-0.41%,
Apa Corp,APA,0.035252,   42.33,-0.38,(-0.89%),
Wr Berkley Corp,WRB,0.034989,   67.77,2.76,-4.24%,
Alliant Energy Corp,LNT,0.034948,   51.10,-1.09,(-2.09%),
Zebra Technologies Corp Cl A,ZBRA,0.03481,   254.90,1.7,-0.67%,
Jm Smucker Co,SJM,0.034738,   128.62,1.85,-1.46%,
Leidos Holdings Inc,LDOS,0.034307,   93.30,-0.28,(-0.29%),
Mosaic Co,MOS,0.034218,   37.77,-0.31,(-0.81%),
Trimble Inc,TRMB,0.034212,   52.11,-0.01,(-0.02%),
Celanese Corp,CE,0.034186,   122.68,-6.32,(-4.90%),
Evergy Inc,EVRG,0.033409,   54.20,0.06,-0.10%,
Nordson Corp,NDSN,0.033302,   231.54,0.17,-0.07%,
Seagate Technology Holdings,STX,0.033268,   64.16,-0.07,(-0.11%),
Match Group Inc,MTCH,0.03318,   43.72,0.91,-2.14%,
Masco Corp,MAS,0.03298,   55.08,0.06,-0.12%,
Interpublic Group of Cos Inc,IPG,0.032061,   30.78,0.33,-1.08%,
International Paper Co,IP,0.031967,   34.28,0.12,-0.36%,
Molson Coors Beverage Co B,TAP,0.031943,   64.50,0.08,-0.13%,
Host Hotels & Resorts Inc,HST,0.03191,   17.37,0.95,-5.79%,
Loews Corp,L,0.03187,   57.27,-7.29,(-11.29%),
Viatris Inc,VTRS,0.031853,   9.83,0.01,-0.09%,
Live Nation Entertainment In,LYV,0.031841,   82.46,-0.67,(-0.80%),
Insulet Corp,PODD,0.031737,   172.73,1.75,-1.02%,
Udr Inc,UDR,0.031403,   37.97,0.03,-0.07%,
Incyte Corp,INCY,0.031176,   60.24,0.73,-1.23%,
Bio Techne Corp,TECH,0.031142,   71.50,0.33,-0.46%,
Kimco Realty Corp,KIM,0.03096,   18.77,0.16,-0.86%,
Aes Corp,AES,0.030957,   17.36,0.28,-1.64%,
Mgm Resorts International,MGM,0.030933,   40.50,0.21,-0.52%,
Brown Forman Corp Class B,BF.B,0.030842,   63.30,-0.05,(-0.07%),
Jack Henry & Associates Inc,JKHY,0.030212,   155.77,0.58,-0.37%,
Caesars Entertainment Inc,CZR,0.030055,   53.22,2.24,-4.40%,
Healthpeak Properties Inc,PEAK,0.029972,   20.05,0.17,-0.83%,
Ceridian Hcm Holding Inc,CDAY,0.029952,   72.45,0.11,-0.16%,
Nisource Inc,NI,0.029928,   27.18,-0.37,(-1.33%),
Hormel Foods Corp,HRL,0.029601,   38.40,0.18,-0.47%,
Camden Property Trust,CPT,0.029463,   102.02,0.07,-0.07%,
Keycorp,KEY,0.029406,   11.50,0.13,-1.15%,
Pentair Plc,PNR,0.029364,   65.00,-2.13,(-3.17%),
Gen Digital Inc,GEN,0.02874,   19.94,0.93,-4.89%,
C.H. Robinson Worldwide Inc,CHRW,0.028604,   94.00,6.18,-7.04%,
Charles River Laboratories,CRL,0.028421,   205.75,-4.82,(-2.29%),
Regency Centers Corp,REG,0.028081,   62.49,0.04,-0.06%,
Teleflex Inc,TFX,0.026917,   211.42,0.15,-0.07%,
Borgwarner Inc,BWA,0.02618,   40.54,-0.36,(-0.87%),
Henry Schein Inc,HSIC,0.026065,   74.11,0.05,-0.07%,
Globe Life Inc,GL,0.025636,   110.52,0.07,-0.07%,
Fmc Corp,FMC,0.025488,   79.63,5.89,-7.99%,
Eastman Chemical Co,EMN,0.025434,   81.88,3.43,-4.38%,
Wynn Resorts Ltd,WYNN,0.025209,   98.64,1.43,-1.48%,
F5 Inc,FFIV,0.025206,   160.92,0.11,-0.07%,
Qorvo Inc,QRVO,0.025195,   97.85,0.98,-1.01%,
Allegion Plc,ALLE,0.025115,   105.25,0.07,-0.07%,
Boston Properties Inc,BXP,0.02494,   60.43,-4.92,(-7.52%),
Westrock Co,WRK,0.024823,   37.39,0.85,-2.32%,
Juniper Networks Inc,JNPR,0.024487,   28.31,0.03,-0.09%,
Nrg Energy Inc,NRG,0.024031,   36.75,-3,(-7.55%),
Catalent Inc,CTLT,0.0238,   48.75,1.56,-3.31%,
Pinnacle West Capital,PNW,0.023636,   76.50,-2.59,(-3.27%),
American Airlines Group Inc,AAL,0.023282,   13.12,0.01,-0.05%,
Rollins Inc,ROL,0.023008,   39.63,1.43,-3.74%,
Campbell Soup Co,CPB,0.022714,   42.70,-0.02,(-0.05%),
Hasbro Inc,HAS,0.022627,   66.25,0.24,-0.37%,
Marketaxess Holdings Inc,MKTX,0.022607,   222.46,-4.66,(-2.05%),
Huntington Ingalls Industrie,HII,0.022509,   211.99,-0.29,(-0.14%),
Smith (a.O.) Corp,AOS,0.022316,   67.21,0.05,-0.07%,
Bath & Body Works Inc,BBWI,0.022125,   36.17,0.08,-0.23%,
Fox Corp Class A,FOXA,0.021694,   31.86,0.07,-0.23%,
Robert Half Inc,RHI,0.021573,   74.20,0.05,-0.07%,
Etsy Inc,ETSY,0.021428,   64.31,0.46,-0.72%,
Bio Rad Laboratories A,BIO,0.021427,   367.83,0.11,-0.03%,
Solaredge Technologies Inc,SEDG,0.021075,   136.53,0.31,-0.22%,
Universal Health Services B,UHS,0.021027,   132.25,4.82,-3.78%,
News Corp Class A,NWSA,0.020724,   20.20,0.28,-1.41%,
Dentsply Sirona Inc,XRAY,0.020576,   35.63,0.09,-0.24%,
Franklin Resources Inc,BEN,0.020126,   26.27,0.14,-0.54%,
Whirlpool Corp,WHR,0.020095,   137.50,0.48,-0.35%,
Assurant Inc,AIZ,0.01975,   138.00,-2.28,(-1.62%),
Federal Realty Invs Trust,FRT,0.019397,   96.71,0.07,-0.07%,
Tapestry Inc,TPR,0.019269,   30.77,0.4,-1.30%,
Norwegian Cruise Line Holdin,NCLH,0.019103,   17.29,0.17,-0.97%,
Invesco Ltd,IVZ,0.018938,   15.30,0.07,-0.46%,
Generac Holdings Inc,GNRC,0.018679,   112.93,2.93,-2.66%,
Paramount Global Class B,PARA,0.018187,   13.62,0.02,-0.15%,
Vf Corp,VFC,0.016128,   17.39,0.06,-0.35%,
Comerica Inc,CMA,0.015337,   43.82,0.56,-1.30%,
Zions Bancorp Na,ZION,0.014887,   36.22,0.04,-0.11%,
Davita Inc,DVA,0.014204,   101.80,2.03,-2.03%,
Sealed Air Corp,SEE,0.013946,   34.46,0.03,-0.07%,
Organon & Co,OGN,0.013195,   19.65,0.19,-0.95%,
Alaska Air Group Inc,ALK,0.013085,   39.80,0.92,-2.37%,
Mohawk Industries Inc,MHK,0.012854,   93.40,1.29,-1.40%,
Ralph Lauren Corp,RL,0.012544,   114.79,0.07,-0.06%,
Dxc Technology Co,DXC,0.011387,   20.38,0.11,-0.52%,
Fox Corp Class B,FOX,0.010369,   29.24,0.07,-0.24%,
News Corp Class B,NWS,0.006867,   20.95,0.32,-1.53%,
