Local time,Ask,Bid,AskVolume,BidVolume
04.09.2023 01:02:59.291 GMT+0300,4514.633,4514.1759999999995,0.0006,0.0006
04.09.2023 01:03:26.117 GMT+0300,4514.503,4514.037,0.0006,0.0006
04.09.2023 01:03:29.342 GMT+0300,4514.4490000000005,4513.977,0.0006,0.0006
04.09.2023 01:03:56.937 GMT+0300,4514.693,4514.161,0.0006,0.0006
04.09.2023 01:04:02.773 GMT+0300,4514.554,4514.031,0.0006,0.0006
04.09.2023 01:04:03.915 GMT+0300,4514.443,4513.977,0.0006,0.0006
04.09.2023 01:04:08.204 GMT+0300,4514.304,4513.847000000001,0.0006,0.0006
04.09.2023 01:04:08.701 GMT+0300,4514.4400000000005,4513.914000000001,0.0006,0.0006
04.09.2023 01:04:10.727 GMT+0300,4514.566,4514.046,0.0006,0.0006
04.09.2023 01:04:14.751 GMT+0300,4514.434,4513.917,0.0006,0.0006
04.09.2023 01:04:26.092 GMT+0300,4514.56,4514.04,0.0006,0.0006
04.09.2023 01:04:27.499 GMT+0300,4514.684,4514.17,0.0006,0.0006
04.09.2023 01:04:29.722 GMT+0300,4514.557,4514.049,0.0006,0.0006
04.09.2023 01:04:30.478 GMT+0300,4514.446,4513.932,0.0006,0.0006
04.09.2023 01:04:34.013 GMT+0300,4514.696,4514.17,0.0006,0.0006
04.09.2023 01:04:34.674 GMT+0300,4514.569,4514.097000000001,0.0006,0.0006
04.09.2023 01:04:39.336 GMT+0300,4514.446,4513.929,0.0006,0.0006
04.09.2023 01:04:43.145 GMT+0300,4514.563,4514.031,0.0006,0.0006
04.09.2023 01:04:50.621 GMT+0300,4514.4400000000005,4513.929,0.0006,0.0006
04.09.2023 01:04:54.430 GMT+0300,4514.563,4514.031,0.0006,0.0006
04.09.2023 01:04:59.994 GMT+0300,4514.431,4513.932,0.0006,0.0006
04.09.2023 01:05:00.180 GMT+0300,4514.5509999999995,4514.052000000001,0.0006,0.0006
04.09.2023 01:05:28.229 GMT+0300,4514.681,4514.17,0.0006,0.0006
04.09.2023 01:05:35.003 GMT+0300,4514.4400000000005,4513.917,0.0006,0.0006
04.09.2023 01:05:35.766 GMT+0300,4514.563,4514.097000000001,0.0006,0.0006
04.09.2023 01:05:36.303 GMT+0300,4514.6900000000005,4514.173,0.0006,0.0006
04.09.2023 01:05:37.268 GMT+0300,4514.557,4514.052000000001,0.0006,0.0006
04.09.2023 01:05:37.816 GMT+0300,4514.633,4514.227,0.0006,0.0006
04.09.2023 01:05:52.330 GMT+0300,4514.548,4514.034000000001,0.0006,0.0006
04.09.2023 01:06:00.195 GMT+0300,4514.4400000000005,4513.914000000001,0.0006,0.0006
04.09.2023 01:06:01.039 GMT+0300,4514.693,4514.179,0.0006,0.0006
04.09.2023 01:06:01.170 GMT+0300,4514.56,4514.034000000001,0.0006,0.0006
04.09.2023 01:06:08.162 GMT+0300,4514.437,4513.977,0.0006,0.0006
04.09.2023 01:06:14.443 GMT+0300,4514.696,4514.1759999999995,0.0006,0.0006
04.09.2023 01:06:25.930 GMT+0300,4514.431,4513.929,0.0006,0.0006
04.09.2023 01:06:36.824 GMT+0300,4514.31,4513.847000000001,0.0006,0.0006
04.09.2023 01:06:37.685 GMT+0300,4514.193,4513.682,0.0006,0.0006
04.09.2023 01:06:43.953 GMT+0300,4514.06,4513.537,0.0006,0.0006
04.09.2023 01:06:44.151 GMT+0300,4513.943,4513.423,0.0006,0.0006
04.09.2023 01:06:52.157 GMT+0300,4514.196,4513.679,0.0006,0.0006
04.09.2023 01:06:52.356 GMT+0300,4514.066,4513.597000000001,0.0006,0.0006
04.09.2023 01:06:58.773 GMT+0300,4513.883,4513.4259999999995,0.0006,0.0006
04.09.2023 01:07:13.347 GMT+0300,4514.048,4513.54,0.0006,0.0006
04.09.2023 01:07:13.576 GMT+0300,4513.934,4513.4259999999995,0.0006,0.0006
04.09.2023 01:07:16.778 GMT+0300,4514.196,4513.6759999999995,0.0006,0.0006
04.09.2023 01:07:26.431 GMT+0300,4513.931,4513.429,0.0006,0.0006
04.09.2023 01:08:08.092 GMT+0300,4513.6990000000005,4513.1759999999995,0.0006,0.0006
04.09.2023 01:08:12.954 GMT+0300,4513.428,4512.92,0.0006,0.0006
04.09.2023 01:08:14.768 GMT+0300,4513.133,4512.667,0.0006,0.0006
04.09.2023 01:08:22.022 GMT+0300,4513.0509999999995,4512.531,0.0006,0.0006
04.09.2023 01:08:22.144 GMT+0300,4512.883,4512.429,0.0006,0.0006
04.09.2023 01:08:24.124 GMT+0300,4512.633,4512.17,0.0006,0.0006
04.09.2023 01:08:24.618 GMT+0300,4512.566,4512.04,0.0006,0.0006
04.09.2023 01:08:24.885 GMT+0300,4512.633,4512.179,0.0006,0.0006
04.09.2023 01:08:35.779 GMT+0300,4512.443,4511.914000000001,0.0006,0.0006
04.09.2023 01:08:36.547 GMT+0300,4512.687,4512.17,0.0006,0.0006
04.09.2023 01:08:40.610 GMT+0300,4512.5509999999995,4512.043,0.0006,0.0006
04.09.2023 01:08:42.452 GMT+0300,4512.693,4512.182,0.0006,0.0006
04.09.2023 01:08:52.383 GMT+0300,4512.8009999999995,4512.29,0.0006,0.0006
04.09.2023 01:08:52.611 GMT+0300,4512.6900000000005,4512.161,0.0006,0.0006
04.09.2023 01:08:57.917 GMT+0300,4512.569,4512.034000000001,0.0006,0.0006
04.09.2023 01:08:58.147 GMT+0300,4512.4400000000005,4511.923,0.0006,0.0006
04.09.2023 01:09:00.266 GMT+0300,4512.548,4512.043,0.0006,0.0006
04.09.2023 01:09:02.486 GMT+0300,4512.693,4512.164000000001,0.0006,0.0006
04.09.2023 01:09:05.636 GMT+0300,4512.503,4512.031,0.0006,0.0006
04.09.2023 01:09:08.083 GMT+0300,4512.696,4512.167,0.0006,0.0006
04.09.2023 01:09:08.339 GMT+0300,4512.56,4512.046,0.0006,0.0006
04.09.2023 01:09:09.464 GMT+0300,4512.431,4511.923,0.0006,0.0006
04.09.2023 01:09:15.531 GMT+0300,4512.681,4512.164000000001,0.0006,0.0006
04.09.2023 01:09:21.021 GMT+0300,4512.548,4512.034000000001,0.0006,0.0006
04.09.2023 01:09:21.594 GMT+0300,4512.696,4512.179,0.0006,0.0006
04.09.2023 01:09:48.947 GMT+0300,4512.81,4512.299,0.0006,0.0006
04.09.2023 01:09:49.277 GMT+0300,4512.554,4512.034000000001,0.0006,0.0006
04.09.2023 01:09:51.917 GMT+0300,4512.428,4511.917,0.0006,0.0006
04.09.2023 01:10:20.317 GMT+0300,4512.316,4511.79,0.0006,0.0006
04.09.2023 01:10:22.805 GMT+0300,4512.193,4511.664000000001,0.0006,0.0006
04.09.2023 01:10:32.788 GMT+0300,4512.298,4511.796,0.0006,0.0006
04.09.2023 01:10:39.896 GMT+0300,4512.196,4511.667,0.0006,0.0006
04.09.2023 01:10:42.350 GMT+0300,4512.437,4511.917,0.0006,0.0006
04.09.2023 01:10:43.583 GMT+0300,4512.193,4511.673,0.0006,0.0006
04.09.2023 01:10:43.747 GMT+0300,4512.31,4511.799,0.0006,0.0006
04.09.2023 01:10:44.019 GMT+0300,4512.1990000000005,4511.673,0.0006,0.0006
04.09.2023 01:10:44.166 GMT+0300,4512.446,4511.977,0.0006,0.0006
04.09.2023 01:10:44.407 GMT+0300,4512.193,4511.661,0.0006,0.0006
04.09.2023 01:10:51.071 GMT+0300,4512.437,4511.914000000001,0.0006,0.0006
04.09.2023 01:10:54.471 GMT+0300,4512.1990000000005,4511.67,0.0006,0.0006
04.09.2023 01:11:28.407 GMT+0300,4512.4490000000005,4511.932,0.0006,0.0006
04.09.2023 01:11:36.893 GMT+0300,4512.31,4511.802000000001,0.0006,0.0006
04.09.2023 01:11:37.884 GMT+0300,4512.178,4511.661,0.0006,0.0006
04.09.2023 01:11:46.712 GMT+0300,4512.298,4511.796,0.0006,0.0006
04.09.2023 01:11:48.120 GMT+0300,4512.4490000000005,4511.929,0.0006,0.0006
04.09.2023 01:11:49.855 GMT+0300,4512.678,4512.179,0.0006,0.0006
04.09.2023 01:11:52.282 GMT+0300,4512.434,4511.917,0.0006,0.0006
04.09.2023 01:11:54.984 GMT+0300,4512.566,4512.031,0.0006,0.0006
04.09.2023 01:11:55.280 GMT+0300,4512.633,4512.17,0.0006,0.0006
04.09.2023 01:11:59.183 GMT+0300,4512.9490000000005,4512.432,0.0006,0.0006
04.09.2023 01:12:03.362 GMT+0300,4513.133,4512.679,0.0006,0.0006
04.09.2023 01:12:03.802 GMT+0300,4512.943,4512.4259999999995,0.0006,0.0006
04.09.2023 01:12:09.850 GMT+0300,4513.054,4512.543,0.0006,0.0006
04.09.2023 01:12:09.951 GMT+0300,4512.9400000000005,4512.411,0.0006,0.0006
